weight_kg,distance_km,is_express,is_fragile,shipping_cost
19.04,1183.94,0,0,24.35
47.56,1422.94,0,0,44.47
36.73,2564.37,0,0,52.28
30.13,1023.31,0,0,27.23
8.22,2609.6,0,0,39.49
8.22,268.96,1,0,14.17
3.38,2331.51,0,0,27.57
43.38,2543.41,0,0,54.02
30.26,549.54,1,0,30.0
35.55,1293.89,1,0,48.45
1.52,500.67,1,0,14.76
48.51,2121.28,1,0,69.64
41.71,1608.37,1,1,74.83
11.01,1907.79,0,0,28.87
9.5,593.48,0,1,27.09
9.58,639.18,0,1,32.56
15.56,129.28,0,0,11.06
26.48,969.59,0,0,25.05
21.88,1681.44,0,0,35.74
14.92,2574.52,0,0,35.21
30.79,2002.45,0,0,34.63
7.4,1309.01,0,1,38.35
14.96,2859.59,1,0,68.91
18.63,2159.14,0,0,35.36
23.08,2790.84,1,0,71.57
39.37,1585.13,0,1,56.11
10.38,780.42,1,0,23.92
25.95,163.22,1,0,24.93
29.82,2179.62,0,0,38.02
2.8,368.3,0,0,11.19
30.57,911.81,0,0,31.01
8.94,1599.75,1,1,54.57
3.72,1695.43,1,0,38.21
47.47,1803.75,1,1,82.35
48.3,502.93,0,0,31.7
40.52,1142.31,0,1,50.16
15.58,1853.5,1,0,52.08
5.33,2909.61,0,0,36.85
34.37,2184.26,0,1,54.53
22.29,2768.2,0,0,48.19
6.54,2287.83,1,0,52.7
25.01,1777.19,0,0,34.27
2.2,580.11,0,0,12.54
45.51,2001.72,0,0,49.34
13.31,1872.02,1,0,54.0
33.29,1809.4,0,0,35.59
15.93,1471.91,0,0,29.75
26.24,1588.33,0,0,35.86
27.56,1006.66,1,0,38.57
9.65,1560.34,1,0,43.0
48.49,596.68,1,1,58.52
38.87,2416.5,0,0,45.14
47.01,561.4,1,0,44.11
44.79,259.47,0,1,41.09
30.1,1311.56,0,0,30.33
46.13,1976.63,0,0,47.18
4.88,1315.96,0,0,25.41
10.2,833.88,1,0,26.01
2.74,1676.72,0,0,23.06
16.6,1044.27,0,0,27.32
19.74,2798.94,0,0,42.11
13.93,2768.32,0,0,36.7
41.52,1509.6,0,0,39.81
18.16,987.01,0,0,27.38
14.41,2212.71,0,0,34.51
27.36,114.96,0,0,24.66
7.48,1426.93,0,0,24.85
40.21,1012.29,1,0,43.74
4.19,2762.0,0,0,34.84
49.35,40.95,1,1,43.36
38.73,1660.68,1,1,70.91
10.34,2223.29,1,0,65.83
0.77,1457.63,0,0,22.51
40.87,260.78,0,0,30.19
35.49,2917.52,1,1,94.54
36.59,1556.44,0,0,42.78
38.68,1844.49,0,0,45.53
4.17,713.65,0,0,18.92
18.24,1453.08,0,0,33.24
6.24,1290.3,1,0,30.23
43.22,229.31,0,0,26.13
31.35,322.95,0,0,21.4
16.88,2513.23,0,0,36.21
3.65,723.26,0,0,14.86
15.89,588.9,0,0,17.42
16.6,1517.21,0,0,33.65
36.62,2307.4,1,1,89.22
32.06,190.53,0,0,22.92
44.42,1732.54,1,0,66.75
23.87,362.04,0,0,24.28
6.42,114.2,0,0,8.23
35.81,162.97,0,0,19.51
38.16,2503.32,0,0,48.57
28.28,358.33,1,0,24.7
38.66,140.23,1,0,27.65
24.94,1316.51,0,0,30.86
26.38,2532.76,0,0,43.67
21.66,790.91,1,0,32.96
1.76,1268.03,0,0,15.53
5.84,124.57,0,0,10.19
2.06,1349.99,1,0,31.93
32.0,1734.95,0,0,38.85
16.06,1714.87,1,0,49.72
25.67,1000.62,0,0,24.78
45.42,950.02,1,1,61.01
12.84,324.34,0,1,29.37
20.81,1103.56,0,0,25.16
37.9,302.99,0,0,29.23
11.83,2300.95,0,0,32.12
4.31,2898.99,0,0,34.76
14.84,2910.37,0,0,39.75
8.48,2595.89,0,0,37.93
46.52,1804.37,1,1,78.12
40.5,2104.09,0,0,47.44
31.85,859.19,0,0,34.46
43.64,1894.16,0,1,60.57
40.28,1369.67,0,0,41.62
9.74,1448.64,0,1,43.53
44.68,2274.54,0,0,52.65
27.2,849.35,1,0,35.54
40.47,957.53,0,0,36.41
44.86,2774.3,0,0,51.95
16.24,173.39,1,0,14.64
5.95,1459.47,1,0,35.65
11.78,2738.84,0,0,43.88
21.64,1833.04,1,0,50.45
40.99,1641.49,0,0,39.84
43.11,752.98,1,0,39.0
0.84,1033.11,0,1,32.15
25.78,2556.89,0,0,43.82
21.16,1679.86,1,0,51.89
11.49,1546.65,0,1,42.89
6.43,303.24,0,1,22.8
17.21,53.0,0,0,12.12
47.17,2891.24,0,0,60.91
16.5,1134.07,0,0,24.08
26.18,1811.62,0,0,39.18
35.3,243.75,0,0,24.71
